Epoch: 1 | train_loss: 1.5310 | train_acc: 0.4479 | train_precision: 0.4138 | train_recall: 0.3515 | train_f1: 0.3625 | test_loss: 1.0940 | test_acc: 0.6033 | test_precision: 0.3748 | test_recall: 0.4743 | test_f1: 0.3938
Epoch: 2 | train_loss: 1.1619 | train_acc: 0.5919 | train_precision: 0.5804 | train_recall: 0.5161 | train_f1: 0.5310 | test_loss: 0.7772 | test_acc: 0.7159 | test_precision: 0.4995 | test_recall: 0.6022 | test_f1: 0.5172
Epoch: 3 | train_loss: 0.9249 | train_acc: 0.6793 | train_precision: 0.6931 | train_recall: 0.6393 | train_f1: 0.6577 | test_loss: 0.8100 | test_acc: 0.7231 | test_precision: 0.5353 | test_recall: 0.6332 | test_f1: 0.5377
Epoch: 4 | train_loss: 0.7197 | train_acc: 0.7452 | train_precision: 0.7665 | train_recall: 0.7173 | train_f1: 0.7367 | test_loss: 0.7109 | test_acc: 0.7704 | test_precision: 0.6479 | test_recall: 0.6866 | test_f1: 0.6313
Epoch: 5 | train_loss: 0.6325 | train_acc: 0.7764 | train_precision: 0.7902 | train_recall: 0.7568 | train_f1: 0.7711 | test_loss: 0.5269 | test_acc: 0.8185 | test_precision: 0.6822 | test_recall: 0.6330 | test_f1: 0.6468
Epoch: 6 | train_loss: 0.5285 | train_acc: 0.8153 | train_precision: 0.8232 | train_recall: 0.8011 | train_f1: 0.8114 | test_loss: 0.5118 | test_acc: 0.8233 | test_precision: 0.7095 | test_recall: 0.7113 | test_f1: 0.7016
Epoch: 7 | train_loss: 0.4694 | train_acc: 0.8335 | train_precision: 0.8514 | train_recall: 0.8290 | train_f1: 0.8393 | test_loss: 0.6302 | test_acc: 0.8191 | test_precision: 0.7341 | test_recall: 0.7405 | test_f1: 0.7239
Epoch: 8 | train_loss: 0.4308 | train_acc: 0.8554 | train_precision: 0.8669 | train_recall: 0.8448 | train_f1: 0.8552 | test_loss: 0.5508 | test_acc: 0.8265 | test_precision: 0.7619 | test_recall: 0.6117 | test_f1: 0.6625
Epoch: 9 | train_loss: 0.3867 | train_acc: 0.8636 | train_precision: 0.8725 | train_recall: 0.8564 | train_f1: 0.8640 | test_loss: 0.5730 | test_acc: 0.8325 | test_precision: 0.7572 | test_recall: 0.5678 | test_f1: 0.6148
Epoch: 10 | train_loss: 0.3686 | train_acc: 0.8676 | train_precision: 0.8788 | train_recall: 0.8661 | train_f1: 0.8722 | test_loss: 0.4854 | test_acc: 0.8391 | test_precision: 0.7718 | test_recall: 0.7207 | test_f1: 0.6932
Epoch: 11 | train_loss: 0.3485 | train_acc: 0.8782 | train_precision: 0.8914 | train_recall: 0.8759 | train_f1: 0.8833 | test_loss: 0.5042 | test_acc: 0.8481 | test_precision: 0.7852 | test_recall: 0.6425 | test_f1: 0.6950
Epoch: 12 | train_loss: 0.3230 | train_acc: 0.8850 | train_precision: 0.9009 | train_recall: 0.8866 | train_f1: 0.8934 | test_loss: 0.4533 | test_acc: 0.8606 | test_precision: 0.8005 | test_recall: 0.7224 | test_f1: 0.7367
Epoch: 13 | train_loss: 0.3447 | train_acc: 0.8794 | train_precision: 0.8904 | train_recall: 0.8740 | train_f1: 0.8817 | test_loss: 0.4245 | test_acc: 0.8611 | test_precision: 0.8475 | test_recall: 0.7252 | test_f1: 0.7619
Epoch: 14 | train_loss: 0.3105 | train_acc: 0.8958 | train_precision: 0.9070 | train_recall: 0.8933 | train_f1: 0.8998 | test_loss: 0.6187 | test_acc: 0.8321 | test_precision: 0.7739 | test_recall: 0.5772 | test_f1: 0.6253
Epoch: 15 | train_loss: 0.3055 | train_acc: 0.8920 | train_precision: 0.9027 | train_recall: 0.8882 | train_f1: 0.8951 | test_loss: 0.4808 | test_acc: 0.8537 | test_precision: 0.8523 | test_recall: 0.7036 | test_f1: 0.7242
Epoch: 16 | train_loss: 0.2630 | train_acc: 0.9042 | train_precision: 0.9152 | train_recall: 0.9015 | train_f1: 0.9080 | test_loss: 0.3529 | test_acc: 0.8830 | test_precision: 0.7875 | test_recall: 0.7789 | test_f1: 0.7764
Epoch: 17 | train_loss: 0.2737 | train_acc: 0.9050 | train_precision: 0.9144 | train_recall: 0.9005 | train_f1: 0.9072 | test_loss: 0.3827 | test_acc: 0.8904 | test_precision: 0.8608 | test_recall: 0.7441 | test_f1: 0.7880
Epoch: 18 | train_loss: 0.2589 | train_acc: 0.9095 | train_precision: 0.9208 | train_recall: 0.9084 | train_f1: 0.9144 | test_loss: 0.4471 | test_acc: 0.8734 | test_precision: 0.8254 | test_recall: 0.7260 | test_f1: 0.7643
Epoch: 19 | train_loss: 0.2885 | train_acc: 0.9028 | train_precision: 0.9129 | train_recall: 0.9009 | train_f1: 0.9067 | test_loss: 0.4021 | test_acc: 0.8890 | test_precision: 0.8673 | test_recall: 0.7815 | test_f1: 0.8133
Epoch: 20 | train_loss: 0.2412 | train_acc: 0.9223 | train_precision: 0.9302 | train_recall: 0.9189 | train_f1: 0.9244 | test_loss: 0.5621 | test_acc: 0.8319 | test_precision: 0.8332 | test_recall: 0.6499 | test_f1: 0.6988
Epoch: 21 | train_loss: 0.2409 | train_acc: 0.9145 | train_precision: 0.9199 | train_recall: 0.9120 | train_f1: 0.9158 | test_loss: 0.3896 | test_acc: 0.8854 | test_precision: 0.8190 | test_recall: 0.7659 | test_f1: 0.7818
Epoch: 22 | train_loss: 0.2514 | train_acc: 0.9151 | train_precision: 0.9244 | train_recall: 0.9145 | train_f1: 0.9193 | test_loss: 0.3489 | test_acc: 0.8928 | test_precision: 0.8448 | test_recall: 0.7674 | test_f1: 0.7937
Epoch: 23 | train_loss: 0.2293 | train_acc: 0.9233 | train_precision: 0.9311 | train_recall: 0.9222 | train_f1: 0.9265 | test_loss: 0.4565 | test_acc: 0.8723 | test_precision: 0.9383 | test_recall: 0.6871 | test_f1: 0.7572
Epoch: 24 | train_loss: 0.2294 | train_acc: 0.9239 | train_precision: 0.9328 | train_recall: 0.9238 | train_f1: 0.9282 | test_loss: 0.4013 | test_acc: 0.8776 | test_precision: 0.8426 | test_recall: 0.6972 | test_f1: 0.7447
Epoch: 25 | train_loss: 0.2051 | train_acc: 0.9293 | train_precision: 0.9382 | train_recall: 0.9299 | train_f1: 0.9339 | test_loss: 0.3834 | test_acc: 0.8819 | test_precision: 0.7995 | test_recall: 0.7905 | test_f1: 0.7882
Epoch: 26 | train_loss: 0.2056 | train_acc: 0.9321 | train_precision: 0.9383 | train_recall: 0.9313 | train_f1: 0.9347 | test_loss: 0.4310 | test_acc: 0.8752 | test_precision: 0.8570 | test_recall: 0.7095 | test_f1: 0.7487
Epoch: 27 | train_loss: 0.1965 | train_acc: 0.9357 | train_precision: 0.9440 | train_recall: 0.9330 | train_f1: 0.9383 | test_loss: 0.5278 | test_acc: 0.8598 | test_precision: 0.7874 | test_recall: 0.6894 | test_f1: 0.7190
Epoch: 28 | train_loss: 0.1852 | train_acc: 0.9413 | train_precision: 0.9433 | train_recall: 0.9385 | train_f1: 0.9408 | test_loss: 0.4048 | test_acc: 0.8866 | test_precision: 0.8346 | test_recall: 0.7912 | test_f1: 0.8058
Epoch: 29 | train_loss: 0.2018 | train_acc: 0.9317 | train_precision: 0.9454 | train_recall: 0.9282 | train_f1: 0.9364 | test_loss: 0.4124 | test_acc: 0.8803 | test_precision: 0.7891 | test_recall: 0.7802 | test_f1: 0.7762
Epoch: 30 | train_loss: 0.2122 | train_acc: 0.9287 | train_precision: 0.9330 | train_recall: 0.9230 | train_f1: 0.9278 | test_loss: 0.4753 | test_acc: 0.8691 | test_precision: 0.7759 | test_recall: 0.7345 | test_f1: 0.7437
Epoch: 31 | train_loss: 0.1955 | train_acc: 0.9337 | train_precision: 0.9411 | train_recall: 0.9319 | train_f1: 0.9364 | test_loss: 0.3833 | test_acc: 0.8910 | test_precision: 0.8552 | test_recall: 0.7888 | test_f1: 0.8024
Epoch: 32 | train_loss: 0.1830 | train_acc: 0.9387 | train_precision: 0.9468 | train_recall: 0.9398 | train_f1: 0.9432 | test_loss: 0.3206 | test_acc: 0.9054 | test_precision: 0.8675 | test_recall: 0.8085 | test_f1: 0.8267
Epoch: 33 | train_loss: 0.1736 | train_acc: 0.9395 | train_precision: 0.9463 | train_recall: 0.9392 | train_f1: 0.9427 | test_loss: 0.3559 | test_acc: 0.8954 | test_precision: 0.8114 | test_recall: 0.8058 | test_f1: 0.8050
Epoch: 34 | train_loss: 0.1835 | train_acc: 0.9345 | train_precision: 0.9386 | train_recall: 0.9292 | train_f1: 0.9338 | test_loss: 0.5179 | test_acc: 0.8672 | test_precision: 0.8652 | test_recall: 0.6957 | test_f1: 0.7504
Epoch: 35 | train_loss: 0.1950 | train_acc: 0.9341 | train_precision: 0.9411 | train_recall: 0.9345 | train_f1: 0.9377 | test_loss: 0.4026 | test_acc: 0.8932 | test_precision: 0.8141 | test_recall: 0.8116 | test_f1: 0.8020
Epoch: 36 | train_loss: 0.1812 | train_acc: 0.9359 | train_precision: 0.9431 | train_recall: 0.9362 | train_f1: 0.9395 | test_loss: 0.3832 | test_acc: 0.8869 | test_precision: 0.8030 | test_recall: 0.7820 | test_f1: 0.7797
Epoch: 37 | train_loss: 0.1744 | train_acc: 0.9417 | train_precision: 0.9521 | train_recall: 0.9433 | train_f1: 0.9476 | test_loss: 0.3891 | test_acc: 0.8904 | test_precision: 0.8251 | test_recall: 0.8064 | test_f1: 0.8105
Epoch: 38 | train_loss: 0.1837 | train_acc: 0.9379 | train_precision: 0.9421 | train_recall: 0.9353 | train_f1: 0.9386 | test_loss: 0.4078 | test_acc: 0.8840 | test_precision: 0.8294 | test_recall: 0.7594 | test_f1: 0.7838
Epoch: 39 | train_loss: 0.1539 | train_acc: 0.9507 | train_precision: 0.9546 | train_recall: 0.9485 | train_f1: 0.9515 | test_loss: 0.5071 | test_acc: 0.8688 | test_precision: 0.7855 | test_recall: 0.7470 | test_f1: 0.7579
Epoch: 40 | train_loss: 0.1628 | train_acc: 0.9455 | train_precision: 0.9523 | train_recall: 0.9458 | train_f1: 0.9489 | test_loss: 0.3317 | test_acc: 0.9042 | test_precision: 0.8647 | test_recall: 0.8209 | test_f1: 0.8337
Epoch: 41 | train_loss: 0.1767 | train_acc: 0.9405 | train_precision: 0.9463 | train_recall: 0.9399 | train_f1: 0.9431 | test_loss: 0.4260 | test_acc: 0.8886 | test_precision: 0.8777 | test_recall: 0.7481 | test_f1: 0.7943
Epoch: 42 | train_loss: 0.1452 | train_acc: 0.9505 | train_precision: 0.9569 | train_recall: 0.9546 | train_f1: 0.9557 | test_loss: 0.3439 | test_acc: 0.9079 | test_precision: 0.9037 | test_recall: 0.8082 | test_f1: 0.8471
Epoch: 43 | train_loss: 0.1575 | train_acc: 0.9509 | train_precision: 0.9577 | train_recall: 0.9493 | train_f1: 0.9534 | test_loss: 0.3185 | test_acc: 0.9120 | test_precision: 0.8908 | test_recall: 0.8365 | test_f1: 0.8534
Epoch: 44 | train_loss: 0.1566 | train_acc: 0.9465 | train_precision: 0.9541 | train_recall: 0.9449 | train_f1: 0.9494 | test_loss: 0.3831 | test_acc: 0.8974 | test_precision: 0.8477 | test_recall: 0.8012 | test_f1: 0.8193
Epoch: 45 | train_loss: 0.1715 | train_acc: 0.9409 | train_precision: 0.9474 | train_recall: 0.9386 | train_f1: 0.9429 | test_loss: 0.4184 | test_acc: 0.8808 | test_precision: 0.7698 | test_recall: 0.7524 | test_f1: 0.7368
Epoch: 46 | train_loss: 0.1634 | train_acc: 0.9443 | train_precision: 0.9522 | train_recall: 0.9427 | train_f1: 0.9473 | test_loss: 0.3806 | test_acc: 0.9048 | test_precision: 0.8508 | test_recall: 0.8233 | test_f1: 0.8243
Epoch: 47 | train_loss: 0.1414 | train_acc: 0.9525 | train_precision: 0.9581 | train_recall: 0.9529 | train_f1: 0.9554 | test_loss: 0.3619 | test_acc: 0.8906 | test_precision: 0.8390 | test_recall: 0.8028 | test_f1: 0.8001
Epoch: 48 | train_loss: 0.1409 | train_acc: 0.9529 | train_precision: 0.9556 | train_recall: 0.9527 | train_f1: 0.9541 | test_loss: 0.3854 | test_acc: 0.8950 | test_precision: 0.8838 | test_recall: 0.7811 | test_f1: 0.8167
Epoch: 49 | train_loss: 0.1402 | train_acc: 0.9531 | train_precision: 0.9584 | train_recall: 0.9534 | train_f1: 0.9558 | test_loss: 0.3832 | test_acc: 0.8942 | test_precision: 0.8845 | test_recall: 0.7767 | test_f1: 0.8201
Epoch: 50 | train_loss: 0.1491 | train_acc: 0.9477 | train_precision: 0.9507 | train_recall: 0.9480 | train_f1: 0.9494 | test_loss: 0.4596 | test_acc: 0.8842 | test_precision: 0.8913 | test_recall: 0.7411 | test_f1: 0.7956
Epoch: 51 | train_loss: 0.1352 | train_acc: 0.9539 | train_precision: 0.9621 | train_recall: 0.9540 | train_f1: 0.9579 | test_loss: 0.4034 | test_acc: 0.8755 | test_precision: 0.7934 | test_recall: 0.7940 | test_f1: 0.7762
Epoch: 52 | train_loss: 0.1401 | train_acc: 0.9543 | train_precision: 0.9591 | train_recall: 0.9521 | train_f1: 0.9555 | test_loss: 0.4670 | test_acc: 0.8771 | test_precision: 0.8712 | test_recall: 0.7382 | test_f1: 0.7862
Epoch: 53 | train_loss: 0.1547 | train_acc: 0.9455 | train_precision: 0.9496 | train_recall: 0.9456 | train_f1: 0.9476 | test_loss: 0.3659 | test_acc: 0.9056 | test_precision: 0.9091 | test_recall: 0.8236 | test_f1: 0.8563
