File Name,Class
1.jpg,other
2.jpg,bright dune
3.jpg,other
4.jpg,crater
5.jpg,other
6.jpg,other
7.jpg,slope streak
8.jpg,bright dune
9.jpg,other
10.jpg,other
11.jpg,slope streak
12.jpg,dark dune
13.jpg,other
14.jpg,other
15.jpg,other
16.jpg,other
17.jpg,other
18.jpg,other
19.jpg,other
20.jpg,other
21.jpg,other
22.jpg,other
23.jpg,other
24.jpg,other
25.jpg,other
26.jpg,other
27.jpg,other
28.jpg,crater
29.jpg,other
30.jpg,other
31.jpg,other
32.jpg,other
33.jpg,crater
34.jpg,slope streak
35.jpg,other
36.jpg,other
37.jpg,crater
38.jpg,other
39.jpg,other
40.jpg,other
41.jpg,bright dune
42.jpg,crater
43.jpg,crater
44.jpg,crater
45.jpg,other
46.jpg,other
47.jpg,other
48.jpg,bright dune
49.jpg,other
50.jpg,other
51.jpg,other
52.jpg,crater
53.jpg,other
54.jpg,swiss cheese
55.jpg,other
56.jpg,swiss cheese
57.jpg,crater
58.jpg,other
59.jpg,bright dune
60.jpg,other
61.jpg,crater
62.jpg,other
63.jpg,other
64.jpg,other
65.jpg,slope streak
66.jpg,other
67.jpg,crater
68.jpg,other
69.jpg,other
70.jpg,dark dune
71.jpg,other
72.jpg,other
73.jpg,other
74.jpg,other
75.jpg,crater
76.jpg,other
77.jpg,bright dune
78.jpg,other
79.jpg,other
80.jpg,other
81.jpg,other
82.jpg,other
83.jpg,other
84.jpg,other
85.jpg,other
86.jpg,other
87.jpg,other
88.jpg,other
89.jpg,other
90.jpg,bright dune
91.jpg,crater
92.jpg,dark dune
93.jpg,other
94.jpg,other
95.jpg,crater
96.jpg,other
97.jpg,other
98.jpg,other
99.jpg,other
100.jpg,other
101.jpg,crater
102.jpg,other
103.jpg,other
104.jpg,crater
105.jpg,crater
106.jpg,swiss cheese
107.jpg,other
108.jpg,other
109.jpg,bright dune
110.jpg,bright dune
111.jpg,swiss cheese
112.jpg,bright dune
113.jpg,other
114.jpg,other
115.jpg,bright dune
116.jpg,other
117.jpg,other
118.jpg,bright dune
119.jpg,other
120.jpg,bright dune
121.jpg,other
122.jpg,crater
123.jpg,other
124.jpg,other
125.jpg,other
126.jpg,crater
127.jpg,other
128.jpg,other
129.jpg,crater
130.jpg,other
131.jpg,dark dune
132.jpg,other
133.jpg,crater
134.jpg,slope streak
135.jpg,other
136.jpg,slope streak
137.jpg,crater
138.jpg,swiss cheese
139.jpg,other
140.jpg,other
141.jpg,crater
142.jpg,swiss cheese
143.jpg,other
144.jpg,other
145.jpg,other
146.jpg,bright dune
147.jpg,bright dune
148.jpg,swiss cheese
149.jpg,other
150.jpg,other
151.jpg,other
152.jpg,other
153.jpg,bright dune
154.jpg,other
155.jpg,crater
156.jpg,other
157.jpg,other
158.jpg,bright dune
159.jpg,other
160.jpg,other
161.jpg,other
162.jpg,bright dune
163.jpg,other
164.jpg,bright dune
165.jpg,other
166.jpg,other
167.jpg,other
168.jpg,other
169.jpg,crater
170.jpg,other
171.jpg,slope streak
172.jpg,spider
173.jpg,bright dune
174.jpg,other
175.jpg,other
